key,category,secret,difficulty,forbidden_clues,collision_group,status,notes
lugares-001,lugares,praia,easy,mar|areia|onda|guarda-sol,agua-lazer,candidate,
lugares-002,lugares,aeroporto,medium,avião|voo|mala|embarque,viagem-transporte,candidate,
lugares-003,lugares,supermercado,easy,carrinho|compras|caixa|prateleira,compras-lugares,candidate,
lugares-004,lugares,hospital,easy,médico|enfermeiro|paciente|remédio,saude-lugares,candidate,
lugares-005,lugares,cinema,easy,filme|pipoca|tela|sessão,entretenimento-lugares,candidate,
lugares-006,lugares,academia,easy,peso|esteira|treino|musculação,atividade-fisica,candidate,
lugares-007,lugares,cartório,hard,documento|firma|reconhecer|registro,burocracia,candidate,
lugares-008,lugares,shopping,medium,loja|praça de alimentação|estacionamento|compras,compras-lugares,candidate,
lugares-009,lugares,parque,easy,árvore|grama|banco|passeio,ar-livre,candidate,
lugares-010,lugares,rodoviária,medium,ônibus|passagem|plataforma|viagem,viagem-transporte,candidate,
comidas-001,comidas,pizza,easy,queijo|massa|fatia|forno,fast-food,candidate,
comidas-002,comidas,churrasco,easy,carne|brasa|espeto|churrasqueira,carne-refeicao,candidate,
comidas-003,comidas,sushi,medium,peixe|arroz|japonês|shoyu,comida-japonesa,candidate,
comidas-004,comidas,hambúrguer,easy,pão|carne|queijo|lanche,fast-food,candidate,
comidas-005,comidas,feijoada,easy,feijão|porco|couve|farofa,brasil-comida,candidate,
comidas-006,comidas,brigadeiro,easy,chocolate|leite condensado|festa|granulado,doces,candidate,
comidas-007,comidas,lasanha,medium,massa|molho|forno|camadas,massas,candidate,
comidas-008,comidas,pastel,easy,frito|feira|massa|caldo de cana,lanches-brasil,candidate,
comidas-009,comidas,açaí,easy,roxo|tigela|granola|gelado,doces-gelados,candidate,
comidas-010,comidas,omelete,medium,ovo|frigideira|café da manhã|recheio,ovos,candidate,
animais-001,animais,cachorro,easy,latir|coleira|rabo|osso,animais-domesticos,candidate,
animais-002,animais,gato,easy,miar|bigode|arranhar|caixa de areia,animais-domesticos,candidate,
animais-003,animais,pinguim,easy,gelo|preto e branco|Antártida|asa,animais-frios,candidate,
animais-004,animais,girafa,easy,pescoço|alto|savana|manchas,animais-savana,candidate,
animais-005,animais,polvo,medium,tentáculo|oito|mar|tinta,animais-marinhos,candidate,
animais-006,animais,canguru,medium,bolsa|Austrália|pular|cauda,animais-australia,candidate,
animais-007,animais,coruja,medium,noite|olhos|voar|sabedoria,aves,candidate,
animais-008,animais,tartaruga,easy,casco|lenta|réptil|mar,repteis,candidate,
animais-009,animais,camaleão,medium,cor|língua|lagarto|camuflagem,repteis,candidate,
animais-010,animais,golfinho,easy,mar|inteligente|salto|barbatana,animais-marinhos,candidate,
profissoes-001,profissoes,médico,easy,hospital|consulta|paciente|receita,saude-profissoes,candidate,
profissoes-002,profissoes,professor,easy,aula|aluno|escola|prova,educacao-profissoes,candidate,
profissoes-003,profissoes,bombeiro,easy,fogo|incêndio|mangueira|resgate,emergencia-profissoes,candidate,
profissoes-004,profissoes,fotógrafo,medium,câmera|foto|lente|ensaio,criacao-profissoes,candidate,
profissoes-005,profissoes,garçom,easy,mesa|pedido|restaurante|bandeja,servico-profissoes,candidate,
profissoes-006,profissoes,advogado,medium,tribunal|processo|cliente|lei,juridico-profissoes,candidate,
profissoes-007,profissoes,cozinheiro,easy,cozinha|panela|receita|restaurante,alimentacao-profissoes,candidate,
profissoes-008,profissoes,motorista,easy,carro|volante|dirigir|trânsito,transporte-profissoes,candidate,
profissoes-009,profissoes,dentista,easy,dente|consultório|cárie|broca,saude-profissoes,candidate,
profissoes-010,profissoes,jornalista,medium,notícia|reportagem|entrevista|jornal,comunicacao-profissoes,candidate,
objetos-001,objetos,guarda-chuva,easy,chuva|molhar|abrir|cabo,tempo-objetos,candidate,
objetos-002,objetos,controle remoto,easy,televisão|botão|canal|pilha,eletronicos-casa,candidate,
objetos-003,objetos,bússola,hard,norte|direção|ponteiro|mapa,navegacao-objetos,candidate,
objetos-004,objetos,mochila,easy,costas|escola|viagem|zíper,bolsas,candidate,
objetos-005,objetos,escova de dentes,easy,dente|pasta|banheiro|higiene,higiene-objetos,candidate,
objetos-006,objetos,liquidificador,easy,cozinha|bater|copo|suco,eletrodomesticos,candidate,
objetos-007,objetos,carregador,easy,bateria|celular|tomada|cabo,eletronicos,candidate,
objetos-008,objetos,espelho,easy,reflexo|rosto|vidro|banheiro,casa-objetos,candidate,
objetos-009,objetos,cadeado,medium,chave|trancar|senha|portão,seguranca-objetos,candidate,
objetos-010,objetos,ventilador,easy,vento|calor|hélice|ligar,clima-casa,candidate,
filmes-series-001,filmes-series,Titanic,easy,navio|iceberg|Jack|Rose,filmes-classicos,candidate,Validar licenciamento apenas como título textual
filmes-series-002,filmes-series,Harry Potter,easy,bruxo|Hogwarts|varinha|magia,franquias-fantasia,candidate,Validar licenciamento apenas como título textual
filmes-series-003,filmes-series,Friends,easy,café|seis amigos|Nova York|sofá,series-comedia,candidate,Validar licenciamento apenas como título textual
filmes-series-004,filmes-series,Stranger Things,easy,Upside Down|Eleven|Hawkins|anos 80,series-ficcao,candidate,Validar licenciamento apenas como título textual
filmes-series-005,filmes-series,Jurassic Park,easy,dinossauro|parque|ilha|T-Rex,filmes-aventura,candidate,Validar licenciamento apenas como título textual
filmes-series-006,filmes-series,The Office,medium,escritório|Michael Scott|papel|documentário,series-comedia,candidate,Validar licenciamento apenas como título textual
filmes-series-007,filmes-series,Shrek,easy,ogro|burro|pântano|princesa,animacao,candidate,Validar licenciamento apenas como título textual
filmes-series-008,filmes-series,Breaking Bad,medium,química|Walter White|deserto|professor,series-drama,candidate,Validar licenciamento apenas como título textual
filmes-series-009,filmes-series,Matrix,easy,pílula|realidade|Neo|simulação,filmes-ficcao,candidate,Validar licenciamento apenas como título textual
filmes-series-010,filmes-series,Game of Thrones,easy,trono|dragão|Westeros|inverno,series-fantasia,candidate,Validar licenciamento apenas como título textual
situacoes-001,situacoes-dia-a-dia,perder o ônibus,easy,ponto|atrasado|correndo|transporte,transporte-situacoes,candidate,
situacoes-002,situacoes-dia-a-dia,ficar sem bateria,easy,celular|carregador|porcentagem|tomada,tecnologia-situacoes,candidate,
situacoes-003,situacoes-dia-a-dia,chegar atrasado,easy,horário|desculpa|correria|espera,atraso-situacoes,candidate,
situacoes-004,situacoes-dia-a-dia,esquecer a senha,easy,login|acesso|redefinir|conta,tecnologia-situacoes,candidate,
situacoes-005,situacoes-dia-a-dia,pegar fila,easy,esperar|senha|gente|demora,espera-situacoes,candidate,
situacoes-006,situacoes-dia-a-dia,receber visita de surpresa,medium,campainha|casa|arrumar|convidado,casa-situacoes,candidate,
situacoes-007,situacoes-dia-a-dia,derrubar comida na roupa,easy,mancha|comer|lavar|guardanapo,comida-situacoes,candidate,
situacoes-008,situacoes-dia-a-dia,entrar no elevador errado,medium,andar|prédio|botão|descer,predio-situacoes,candidate,
situacoes-009,situacoes-dia-a-dia,mandar mensagem para a pessoa errada,easy,WhatsApp|apagar|contato|vergonha,mensagem-situacoes,candidate,
situacoes-010,situacoes-dia-a-dia,acordar antes do despertador,easy,sono|horário|alarme|cama,sono-situacoes,candidate,
